dependent_upos,head_upos,direction,distance_bucket,base_deprel,yue_count,zh_count,yue_per_1000_tokens,zh_per_1000_tokens,absolute_rate_difference
NUM,NOUN,head_right,1-2,nummod,153,139,10.992958758442304,14.07737492404294,3.0844161656006364
VERB,NOUN,head_right,3-5,acl,28,47,2.011783302198592,4.759975693741138,2.7481923915425464
VERB,VERB,head_left,1-2,xcomp,81,84,5.819801695645926,8.507190601579907,2.6873889059339815
PUNCT,VERB,head_left,1-2,punct,407,263,29.24270728552953,26.635608669232326,2.607098616297204
PRON,VERB,head_right,3-5,nsubj,133,120,9.555970685443311,12.153129430828438,2.5971587453851264
VERB,VERB,head_left,1-2,conj,119,59,8.550079034344014,5.975288636823982,2.574790397520032
ADV,VERB,head_left,1-2,advmod,53,13,3.8080183934473344,1.316589021673081,2.4914293717742533
ADV,VERB,head_right,3-5,discourse,41,5,2.945825549647938,0.506380392951185,2.439445156696753
NOUN,VERB,head_right,3-5,nsubj,44,55,3.161373760597787,5.570184322463034,2.408810561865247
PUNCT,VERB,head_left,3-5,punct,483,319,34.70326196292571,32.3070690702856,2.3961928926401086
NOUN,NUM,head_left,1-2,clf,116,59,8.334530823394166,5.975288636823982,2.3592421865701843
AUX,VERB,head_left,1-2,aux,124,65,8.909326052593764,6.582945108365404,2.32638094422836
NOUN,PROPN,head_left,1-2,flat,24,39,1.7243856875987928,3.9497670650192425,2.2253813774204496
NOUN,NOUN,head_left,1-2,case,42,8,3.0176749532978877,0.8102086287218959,2.207466324575992
PUNCT,VERB,head_right,1-2,punct,142,122,10.202615318292859,12.355681588008911,2.153066269716053
PART,VERB,head_left,1-2,mark,45,53,3.233223164247737,5.3676321652825605,2.1344090010348236
INTJ,VERB,head_right,6+,discourse,31,1,2.227331513148441,0.10127607859023699,2.126055434558204
VERB,VERB,head_left,6+,ccomp,91,44,6.538295732145423,4.456147457970427,2.0821482741749957
INTJ,VERB,head_right,3-5,discourse,37,6,2.658427935048139,0.6076564715414219,2.050771463506717
PART,DET,head_left,1-2,case,28,0,2.011783302198592,0.0,2.011783302198592
PART,PRON,head_left,1-2,case,37,45,2.658427935048139,4.557423536560664,1.8989956015125253
ADV,VERB,head_right,3-5,advmod,150,125,10.777410547492456,12.659509823779624,1.8820992762871676
VERB,VERB,head_left,3-5,conj,98,51,7.041241557695071,5.165080008102087,1.8761615495929842
VERB,VERB,head_right,3-5,reparandum,26,0,1.8680844948986923,0.0,1.8680844948986923
NOUN,VERB,head_left,6+,obj,68,30,4.88575944819658,3.0382823577071094,1.8474770904894702
VERB,VERB,head_left,3-5,xcomp,25,35,1.7962350912487426,3.5446627506582944,1.7484276594095518
NOUN,DET,head_left,1-2,clf,84,43,6.035349906595775,4.3548713793801905,1.6804785272155849
PART,AUX,head_left,1-2,discourse,2,18,0.14369880729989942,1.8229694146242656,1.6792706073243662
AUX,NOUN,head_right,1-2,cop,23,32,1.6525362839488433,3.2408345148875837,1.5882982309387403
ADP,NOUN,head_right,3-5,case,33,39,2.3710303204483405,3.9497670650192425,1.578736744570902
PUNCT,VERB,head_right,3-5,punct,81,73,5.819801695645926,7.3931537370873,1.5733520414413746
AUX,ROOT,ROOT,ROOT,root,8,21,0.5747952291995977,2.126797650394977,1.5520024211953791
PART,VERB,head_left,3-5,mark,8,21,0.5747952291995977,2.126797650394977,1.5520024211953791
VERB,VERB,head_left,3-5,parataxis,14,25,1.005891651099296,2.5319019647559244,1.5260103136566285
ADV,VERB,head_left,1-2,conj,0,15,0.0,1.5191411788535547,1.5191411788535547
ADP,NOUN,head_left,1-2,case,20,29,1.4369880729989941,2.9370062791168725,1.5000182061178784
PART,PRON,head_left,1-2,discourse,26,4,1.8680844948986923,0.40510431436094796,1.4629801805377443
INTJ,VERB,head_left,3-5,discourse,21,1,1.5088374766489439,0.10127607859023699,1.407561398058707
INTJ,VERB,head_left,6+,discourse,21,1,1.5088374766489439,0.10127607859023699,1.407561398058707
NUM,NOUN,head_right,3-5,nummod,33,10,2.3710303204483405,1.01276078590237,1.3582695345459705
PART,PROPN,head_left,1-2,case,6,17,0.4310964218996982,1.7216933360340287,1.2905969141343305
VERB,VERB,head_left,1-2,compound,132,81,9.484121281793362,8.203362365809197,1.2807589159841655
VERB,VERB,head_right,3-5,advcl,57,53,4.095416008047133,5.3676321652825605,1.2722161572354276
PUNCT,PROPN,head_right,1-2,punct,19,26,1.3651386693490444,2.633178043346162,1.2680393739971174
PRON,NOUN,head_right,3-5,nsubj,15,23,1.0777410547492456,2.3293498075754506,1.251608752826205
INTJ,VERB,head_right,1-2,discourse,20,2,1.4369880729989941,0.20255215718047398,1.23443591581852
AUX,AUX,head_left,1-2,conj,17,0,1.221439862049145,0.0,1.221439862049145
VERB,NOUN,head_right,1-2,acl,65,58,4.670211237246731,5.874012558233745,1.2038013209870142
NOUN,NOUN,head_left,1-2,conj,20,26,1.4369880729989941,2.633178043346162,1.1961899703471677
VERB,VERB,head_right,6+,reparandum,16,0,1.1495904583991954,0.0,1.1495904583991954
CCONJ,NOUN,head_right,1-2,cc,13,20,0.9340422474493462,2.02552157180474,1.0914793243553937
DET,NOUN,head_right,3-5,det,49,24,3.5206207788475354,2.4306258861656875,1.089994892681848
PART,ADJ,head_left,1-2,discourse,49,24,3.5206207788475354,2.4306258861656875,1.089994892681848
PUNCT,ADJ,head_left,1-2,punct,81,47,5.819801695645926,4.759975693741138,1.0598260019047876
VERB,NOUN,head_left,1-2,acl,35,35,2.5147291277482395,3.5446627506582944,1.0299336229100549
PROPN,NOUN,head_right,3-5,nmod,4,13,0.28739761459979885,1.316589021673081,1.0291914070732822
PRON,NOUN,head_left,1-2,appos,17,2,1.221439862049145,0.20255215718047398,1.0188877048686709
ADP,NOUN,head_right,6+,case,10,17,0.7184940364994971,1.7216933360340287,1.0031992995345318
ADP,PROPN,head_right,1-2,case,6,14,0.4310964218996982,1.4178651002633178,0.9867686783636196
PRON,ROOT,ROOT,ROOT,root,9,16,0.6466446328495473,1.6204172574437918,0.9737726245942445
NOUN,VERB,head_right,3-5,obj,5,13,0.35924701824974853,1.316589021673081,0.9573420034233324
PROPN,VERB,head_left,1-2,obj,29,30,2.0836327058485415,3.0382823577071094,0.9546496518585679
NOUN,VERB,head_left,6+,conj,16,2,1.1495904583991954,0.20255215718047398,0.9470383012187213
PUNCT,ADJ,head_right,3-5,punct,1,10,0.07184940364994971,1.01276078590237,0.9409113822524202
PROPN,ROOT,ROOT,ROOT,root,25,27,1.7962350912487426,2.7344541219363987,0.9382190306876561
PART,VERB,head_right,3-5,discourse,13,0,0.9340422474493462,0.0,0.9340422474493462
SCONJ,VERB,head_left,6+,mark,13,0,0.9340422474493462,0.0,0.9340422474493462
AUX,NOUN,head_right,3-5,cop,21,24,1.5088374766489439,2.4306258861656875,0.9217884095167437
ADV,VERB,head_right,1-2,discourse,14,1,1.005891651099296,0.10127607859023699,0.9046155725090589
ADV,ADJ,head_left,1-2,advmod,21,6,1.5088374766489439,0.6076564715414219,0.901181005107522
ADJ,VERB,head_left,1-2,compound,27,28,1.939933898548642,2.8357302005266356,0.8957963019779935
NOUN,VERB,head_right,3-5,vocative,20,23,1.4369880729989941,2.3293498075754506,0.8923617345764565
PUNCT,PROPN,head_left,1-2,punct,44,40,3.161373760597787,4.05104314360948,0.8896693830116926
PROPN,VERB,head_right,3-5,nsubj,6,13,0.4310964218996982,1.316589021673081,0.8854925997733827
INTJ,VERB,head_left,1-2,discourse,12,0,0.8621928437993964,0.0,0.8621928437993964
PRON,PRON,head_right,1-2,reparandum,12,0,0.8621928437993964,0.0,0.8621928437993964
ADP,VERB,head_right,1-2,mark,12,17,0.8621928437993964,1.7216933360340287,0.8595004922346323
PUNCT,NOUN,head_left,3-5,punct,33,15,2.3710303204483405,1.5191411788535547,0.8518891415947858
ADV,AUX,head_right,1-2,advmod,20,6,1.4369880729989941,0.6076564715414219,0.8293316014575722
VERB,VERB,head_left,3-5,compound,11,0,0.7903434401494468,0.0,0.7903434401494468
PUNCT,ADJ,head_right,1-2,punct,9,14,0.6466446328495473,1.4178651002633178,0.7712204674137705
PUNCT,ADJ,head_left,6+,punct,19,6,1.3651386693490444,0.6076564715414219,0.7574821978076225
ADV,ADJ,head_right,1-2,advmod,139,106,9.987067107343009,10.735264330565121,0.7481972232221121
PART,VERB,head_left,1-2,compound,23,9,1.6525362839488433,0.9114847073121328,0.7410515766367105
VERB,VERB,head_left,3-5,advcl,4,10,0.28739761459979885,1.01276078590237,0.7253631713025711
ADV,VERB,head_left,3-5,advmod,10,0,0.7184940364994971,0.0,0.7184940364994971
PRON,VERB,head_left,1-2,obl,14,17,1.005891651099296,1.7216933360340287,0.7158016849347328
PART,VERB,head_right,1-2,advmod,0,7,0.0,0.7089325501316589,0.7089325501316589
PUNCT,PRON,head_right,1-2,punct,11,1,0.7903434401494468,0.10127607859023699,0.6890673615592098
PRON,NOUN,head_right,1-2,nmod,75,60,5.388705273746228,6.076564715414219,0.6878594416679906
PUNCT,AUX,head_left,1-2,punct,13,16,0.9340422474493462,1.6204172574437918,0.6863750099944457
SCONJ,VERB,head_right,1-2,mark,37,33,2.658427935048139,3.3421105934778206,0.6836826584296816
ADV,NOUN,head_right,3-5,advmod,30,28,2.1554821094984913,2.8357302005266356,0.6802480910281443
DET,NOUN,head_right,6+,det,15,4,1.0777410547492456,0.40510431436094796,0.6726367403882977
PUNCT,INTJ,head_right,1-2,punct,15,4,1.0777410547492456,0.40510431436094796,0.6726367403882977
PUNCT,AUX,head_left,3-5,punct,2,8,0.14369880729989942,0.8102086287218959,0.6665098214219964
PRON,NOUN,head_right,3-5,nmod,29,14,2.0836327058485415,1.4178651002633178,0.6657676055852237
NOUN,ADJ,head_right,1-2,nsubj,15,17,1.0777410547492456,1.7216933360340287,0.6439522812847831
INTJ,ROOT,ROOT,ROOT,root,11,14,0.7903434401494468,1.4178651002633178,0.627521660113871
SCONJ,VERB,head_left,1-2,mark,10,1,0.7184940364994971,0.10127607859023699,0.61721795790926
ADV,VERB,head_right,6+,advmod,86,55,6.179048713895675,5.570184322463034,0.6088643914326406
ADJ,VERB,head_right,1-2,advmod,21,9,1.5088374766489439,0.9114847073121328,0.597352769336811
PRON,NOUN,head_right,1-2,det,11,2,0.7903434401494468,0.20255215718047398,0.5877912829689729
ADJ,VERB,head_left,3-5,conj,8,0,0.5747952291995977,0.0,0.5747952291995977
PART,PROPN,head_right,1-2,compound,8,0,0.5747952291995977,0.0,0.5747952291995977
PUNCT,DET,head_left,1-2,punct,8,0,0.5747952291995977,0.0,0.5747952291995977
NUM,NOUN,head_right,6+,nummod,15,5,1.0777410547492456,0.506380392951185,0.5713606617980607
NOUN,NOUN,head_left,3-5,conj,19,19,1.3651386693490444,1.9242454932145028,0.5591068238654584
VERB,VERB,head_right,1-2,reparandum,9,1,0.6466446328495473,0.10127607859023699,0.5453685542593103
NOUN,VERB,head_right,3-5,obl,71,45,5.101307659146429,4.557423536560664,0.5438841225857649
ADJ,ROOT,ROOT,ROOT,root,73,57,5.245006466446329,5.772736479643508,0.5277300131971794
NOUN,NOUN,head_right,3-5,nsubj,4,8,0.28739761459979885,0.8102086287218959,0.5228110141220971
NOUN,NOUN,head_right,6+,obl,10,2,0.7184940364994971,0.20255215718047398,0.5159418793190231
AUX,NOUN,head_right,1-2,aux,0,5,0.0,0.506380392951185,0.506380392951185
PUNCT,NUM,head_right,1-2,punct,0,5,0.0,0.506380392951185,0.506380392951185
NOUN,NOUN,head_right,1-2,reparandum,7,0,0.502945825549648,0.0,0.502945825549648
NOUN,VERB,head_left,6+,vocative,7,0,0.502945825549648,0.0,0.502945825549648
PRON,PRON,head_right,3-5,reparandum,7,0,0.502945825549648,0.0,0.502945825549648
SCONJ,VERB,head_right,3-5,mark,20,19,1.4369880729989941,1.9242454932145028,0.48725742021550866
NOUN,VERB,head_right,1-2,obj,6,9,0.4310964218996982,0.9114847073121328,0.4803882854124346
SCONJ,VERB,head_left,3-5,mark,8,1,0.5747952291995977,0.10127607859023699,0.4735191506093607
ADV,ROOT,ROOT,ROOT,root,15,6,1.0777410547492456,0.6076564715414219,0.47008458320782376
VERB,VERB,head_left,6+,advcl,22,11,1.5806868802988936,1.1140368644926069,0.46665001580628673
PROPN,VERB,head_right,1-2,obl,2,6,0.14369880729989942,0.6076564715414219,0.46395766424152246
VERB,NOUN,head_right,6+,advcl,2,6,0.14369880729989942,0.6076564715414219,0.46395766424152246
NOUN,NOUN,head_right,3-5,nmod,19,18,1.3651386693490444,1.8229694146242656,0.4578307452752213
CCONJ,VERB,head_right,1-2,advmod,12,4,0.8621928437993964,0.40510431436094796,0.45708852943844847
VERB,ADJ,head_right,6+,advcl,5,8,0.35924701824974853,0.8102086287218959,0.4509616104721474
ADV,ADV,head_left,1-2,advmod,9,2,0.6466446328495473,0.20255215718047398,0.44409247566907334
ADJ,VERB,head_left,1-2,xcomp,8,10,0.5747952291995977,1.01276078590237,0.43796555670277226
VERB,NOUN,head_right,1-2,compound,1,5,0.07184940364994971,0.506380392951185,0.43453098930123524
ADV,ADJ,head_left,1-2,mark,6,0,0.4310964218996982,0.0,0.4310964218996982
ADV,ADV,head_right,1-2,reparandum,6,0,0.4310964218996982,0.0,0.4310964218996982
AUX,VERB,head_left,1-2,ccomp,6,0,0.4310964218996982,0.0,0.4310964218996982
INTJ,NOUN,head_right,3-5,discourse,6,0,0.4310964218996982,0.0,0.4310964218996982
NOUN,NOUN,head_right,3-5,clf,6,0,0.4310964218996982,0.0,0.4310964218996982
NOUN,NOUN,head_right,3-5,reparandum,6,0,0.4310964218996982,0.0,0.4310964218996982
PART,CCONJ,head_left,1-2,discourse,6,0,0.4310964218996982,0.0,0.4310964218996982
PART,NUM,head_left,1-2,case,6,0,0.4310964218996982,0.0,0.4310964218996982
PRON,VERB,head_right,3-5,reparandum,6,0,0.4310964218996982,0.0,0.4310964218996982
PRON,NOUN,head_right,1-2,nsubj,10,3,0.7184940364994971,0.30382823577071094,0.4146658007287861
AUX,VERB,head_right,3-5,aux,38,31,2.7302773386980888,3.1395584362973468,0.409281097599258
AUX,ADJ,head_right,1-2,aux,7,9,0.502945825549648,0.9114847073121328,0.4085388817624849
ADV,AUX,head_left,1-2,conj,0,4,0.0,0.40510431436094796,0.40510431436094796
NOUN,VERB,head_right,1-2,advcl,0,4,0.0,0.40510431436094796,0.40510431436094796
ADJ,VERB,head_left,6+,conj,7,1,0.502945825549648,0.10127607859023699,0.40166974695941093
ADV,NOUN,head_right,1-2,amod,7,1,0.502945825549648,0.10127607859023699,0.40166974695941093
PRON,VERB,head_left,3-5,obj,7,1,0.502945825549648,0.10127607859023699,0.40166974695941093
VERB,ADJ,head_left,3-5,conj,7,1,0.502945825549648,0.10127607859023699,0.40166974695941093
VERB,NOUN,head_right,6+,acl,14,6,1.005891651099296,0.6076564715414219,0.398235179557874
PUNCT,NOUN,head_left,1-2,punct,286,199,20.548929443885616,20.15393963945716,0.3949898044284552
ADJ,VERB,head_left,6+,ccomp,3,6,0.2155482109498491,0.6076564715414219,0.3921082605915728
ADP,VERB,head_left,3-5,mark,3,6,0.2155482109498491,0.6076564715414219,0.3921082605915728
PROPN,VERB,head_left,1-2,obl,3,6,0.2155482109498491,0.6076564715414219,0.3921082605915728
NOUN,VERB,head_left,6+,ccomp,8,2,0.5747952291995977,0.20255215718047398,0.3722430720191237
NOUN,VERB,head_right,6+,obj,8,2,0.5747952291995977,0.20255215718047398,0.3722430720191237
PART,ADV,head_left,1-2,mark,8,2,0.5747952291995977,0.20255215718047398,0.3722430720191237
PART,VERB,head_right,1-2,mark,8,2,0.5747952291995977,0.20255215718047398,0.3722430720191237
PRON,AUX,head_right,1-2,nsubj,8,2,0.5747952291995977,0.20255215718047398,0.3722430720191237
VERB,ADJ,head_left,6+,parataxis,8,2,0.5747952291995977,0.20255215718047398,0.3722430720191237
NOUN,VERB,head_left,1-2,obl,9,10,0.6466446328495473,1.01276078590237,0.36611615305282263
NOUN,VERB,head_left,3-5,obl,22,12,1.5806868802988936,1.2153129430828438,0.3653739372160498
PUNCT,VERB,head_right,6+,punct,33,27,2.3710303204483405,2.7344541219363987,0.3634238014880582
ADP,ROOT,ROOT,ROOT,root,2,5,0.14369880729989942,0.506380392951185,0.36268158565128555
VERB,NOUN,head_left,6+,acl,2,5,0.14369880729989942,0.506380392951185,0.36268158565128555
NOUN,PRON,head_left,1-2,appos,5,0,0.35924701824974853,0.0,0.35924701824974853
PART,PART,head_right,1-2,reparandum,5,0,0.35924701824974853,0.0,0.35924701824974853
PART,VERB,head_right,6+,discourse,5,0,0.35924701824974853,0.0,0.35924701824974853
PRON,VERB,head_left,3-5,iobj,5,0,0.35924701824974853,0.0,0.35924701824974853
PRON,VERB,head_left,3-5,nsubj,5,0,0.35924701824974853,0.0,0.35924701824974853
PRON,VERB,head_right,1-2,advcl,5,0,0.35924701824974853,0.0,0.35924701824974853
PUNCT,ADP,head_left,1-2,punct,5,0,0.35924701824974853,0.0,0.35924701824974853
VERB,VERB,head_left,3-5,obj,5,0,0.35924701824974853,0.0,0.35924701824974853
AUX,PRON,head_right,1-2,cop,5,7,0.35924701824974853,0.7089325501316589,0.34968553188191037
PART,PROPN,head_left,1-2,discourse,9,3,0.6466446328495473,0.30382823577071094,0.3428163970788364
PUNCT,CCONJ,head_left,1-2,punct,9,3,0.6466446328495473,0.30382823577071094,0.3428163970788364
ADP,VERB,head_right,6+,mark,1,4,0.07184940364994971,0.40510431436094796,0.3332549107109982
NOUN,NOUN,head_right,6+,nmod,6,1,0.4310964218996982,0.10127607859023699,0.3298203433094612
PART,ADJ,head_left,3-5,discourse,6,1,0.4310964218996982,0.10127607859023699,0.3298203433094612
PRON,NOUN,head_right,6+,nmod,6,1,0.4310964218996982,0.10127607859023699,0.3298203433094612
ADP,VERB,head_right,3-5,mark,4,6,0.28739761459979885,0.6076564715414219,0.32025885694162304
CCONJ,ADJ,head_right,1-2,cc,4,6,0.28739761459979885,0.6076564715414219,0.32025885694162304
NOUN,VERB,head_left,3-5,ccomp,4,6,0.28739761459979885,0.6076564715414219,0.32025885694162304
NOUN,VERB,head_left,6+,parataxis,4,6,0.28739761459979885,0.6076564715414219,0.32025885694162304
PROPN,PROPN,head_left,1-2,conj,4,6,0.28739761459979885,0.6076564715414219,0.32025885694162304
VERB,ADJ,head_left,1-2,conj,4,6,0.28739761459979885,0.6076564715414219,0.32025885694162304
VERB,NOUN,head_right,3-5,advcl,4,6,0.28739761459979885,0.6076564715414219,0.32025885694162304
ADV,NOUN,head_right,1-2,advmod,21,18,1.5088374766489439,1.8229694146242656,0.3141319379753218
PUNCT,NOUN,head_right,6+,punct,14,13,1.005891651099296,1.316589021673081,0.310697370573785
PRON,ADJ,head_right,1-2,nsubj,7,8,0.502945825549648,0.8102086287218959,0.30726280317224797
NOUN,VERB,head_left,3-5,parataxis,0,3,0.0,0.30382823577071094,0.30382823577071094
PART,ADJ,head_left,3-5,mark,0,3,0.0,0.30382823577071094,0.30382823577071094
PROPN,VERB,head_right,6+,vocative,0,3,0.0,0.30382823577071094,0.30382823577071094
VERB,NOUN,head_right,1-2,advcl,0,3,0.0,0.30382823577071094,0.30382823577071094
INTJ,NOUN,head_right,1-2,discourse,7,2,0.502945825549648,0.20255215718047398,0.30039366836917397
NOUN,ADP,head_left,1-2,obj,7,2,0.502945825549648,0.20255215718047398,0.30039366836917397
NOUN,NOUN,head_left,6+,appos,7,2,0.502945825549648,0.20255215718047398,0.30039366836917397
PRON,ADJ,head_right,3-5,nsubj,7,2,0.502945825549648,0.20255215718047398,0.30039366836917397
NOUN,ADP,head_left,3-5,obj,3,5,0.2155482109498491,0.506380392951185,0.29083218200133587
ADP,VERB,head_right,1-2,advcl,4,0,0.28739761459979885,0.0,0.28739761459979885
ADV,PRON,head_left,1-2,advmod,4,0,0.28739761459979885,0.0,0.28739761459979885
ADV,VERB,head_right,3-5,reparandum,4,0,0.28739761459979885,0.0,0.28739761459979885
INTJ,ADV,head_left,1-2,discourse,4,0,0.28739761459979885,0.0,0.28739761459979885
INTJ,NOUN,head_left,1-2,discourse,4,0,0.28739761459979885,0.0,0.28739761459979885
INTJ,NOUN,head_left,3-5,discourse,4,0,0.28739761459979885,0.0,0.28739761459979885
INTJ,NOUN,head_right,6+,discourse,4,0,0.28739761459979885,0.0,0.28739761459979885
PART,NOUN,head_right,1-2,compound,4,0,0.28739761459979885,0.0,0.28739761459979885
PART,NOUN,head_right,3-5,discourse,4,0,0.28739761459979885,0.0,0.28739761459979885
PUNCT,ADV,head_left,3-5,punct,4,0,0.28739761459979885,0.0,0.28739761459979885
PUNCT,PRON,head_left,3-5,punct,4,0,0.28739761459979885,0.0,0.28739761459979885
VERB,ADV,head_right,3-5,advcl,4,0,0.28739761459979885,0.0,0.28739761459979885
VERB,VERB,head_right,3-5,obl,4,0,0.28739761459979885,0.0,0.28739761459979885
PROPN,VERB,head_right,1-2,nsubj,11,5,0.7903434401494468,0.506380392951185,0.2839630471982618
VERB,VERB,head_left,6+,xcomp,18,10,1.2932892656990946,1.01276078590237,0.2805284797967247
PROPN,NOUN,head_right,1-2,nmod,6,7,0.4310964218996982,0.7089325501316589,0.2778361282319607
PART,NOUN,head_left,3-5,discourse,8,3,0.5747952291995977,0.30382823577071094,0.27096699342888675
PUNCT,ADV,head_right,1-2,punct,8,3,0.5747952291995977,0.30382823577071094,0.27096699342888675
PUNCT,PROPN,head_left,3-5,punct,8,3,0.5747952291995977,0.30382823577071094,0.27096699342888675
VERB,VERB,head_left,1-2,advcl,8,3,0.5747952291995977,0.30382823577071094,0.27096699342888675
ADV,ADV,head_right,1-2,advmod,15,8,1.0777410547492456,0.8102086287218959,0.2675324260273497
VERB,VERB,head_right,6+,advcl,115,79,8.262681419744217,8.000810208628723,0.26187121111549416
ADJ,VERB,head_right,3-5,advmod,2,4,0.14369880729989942,0.40510431436094796,0.26140550706104854
ADV,ADP,head_right,1-2,advmod,2,4,0.14369880729989942,0.40510431436094796,0.26140550706104854
NOUN,VERB,head_left,3-5,vocative,2,4,0.14369880729989942,0.40510431436094796,0.26140550706104854
PUNCT,ADP,head_left,3-5,punct,2,4,0.14369880729989942,0.40510431436094796,0.26140550706104854
VERB,NOUN,head_left,1-2,conj,2,4,0.14369880729989942,0.40510431436094796,0.26140550706104854
DET,VERB,head_right,1-2,det,5,1,0.35924701824974853,0.10127607859023699,0.25797093965951157
NOUN,NOUN,head_right,3-5,obl,5,1,0.35924701824974853,0.10127607859023699,0.25797093965951157
NOUN,NOUN,head_right,6+,vocative,5,1,0.35924701824974853,0.10127607859023699,0.25797093965951157
PRON,NOUN,head_right,3-5,compound,5,1,0.35924701824974853,0.10127607859023699,0.25797093965951157
VERB,NOUN,head_right,1-2,nmod,5,1,0.35924701824974853,0.10127607859023699,0.25797093965951157
VERB,VERB,head_right,3-5,ccomp,5,1,0.35924701824974853,0.10127607859023699,0.25797093965951157
PROPN,NOUN,head_right,1-2,compound,19,16,1.3651386693490444,1.6204172574437918,0.25527858809474746
ADJ,ADJ,head_left,1-2,conj,12,11,0.8621928437993964,1.1140368644926069,0.25184402069321044
VERB,NOUN,head_left,3-5,acl,5,6,0.35924701824974853,0.6076564715414219,0.24840945329167335
NOUN,ADJ,head_left,1-2,clf,8,8,0.5747952291995977,0.8102086287218959,0.23541339952229823
ADP,VERB,head_right,3-5,case,1,3,0.07184940364994971,0.30382823577071094,0.23197883212076123
NOUN,NOUN,head_left,1-2,appos,1,3,0.07184940364994971,0.30382823577071094,0.23197883212076123
NOUN,PRON,head_right,1-2,nsubj,1,3,0.07184940364994971,0.30382823577071094,0.23197883212076123
VERB,VERB,head_left,1-2,acl,1,3,0.07184940364994971,0.30382823577071094,0.23197883212076123
ADV,PROPN,head_right,3-5,advmod,6,2,0.4310964218996982,0.20255215718047398,0.22854426471922423
NUM,NUM,head_left,1-2,conj,6,2,0.4310964218996982,0.20255215718047398,0.22854426471922423
PART,VERB,head_left,1-2,case,6,2,0.4310964218996982,0.20255215718047398,0.22854426471922423
VERB,ADJ,head_left,6+,conj,6,2,0.4310964218996982,0.20255215718047398,0.22854426471922423
ADV,PRON,head_right,1-2,advmod,4,5,0.28739761459979885,0.506380392951185,0.21898277835138613
VERB,VERB,head_right,3-5,csubj,4,5,0.28739761459979885,0.506380392951185,0.21898277835138613
ADJ,VERB,head_left,1-2,advmod,3,0,0.2155482109498491,0.0,0.2155482109498491
ADV,AUX,head_right,3-5,discourse,3,0,0.2155482109498491,0.0,0.2155482109498491
ADV,NOUN,head_right,6+,discourse,3,0,0.2155482109498491,0.0,0.2155482109498491
ADV,VERB,head_left,3-5,conj,3,0,0.2155482109498491,0.0,0.2155482109498491
AUX,ADV,head_right,1-2,cop,3,0,0.2155482109498491,0.0,0.2155482109498491
